98,F,35,7,33547
4628,F,56,6,23225
250,M,35,16,11229
3530,M,25,0,77058
4749,M,45,0,23462
3021,F,45,15,78750
4192,M,35,17,77521
2530,M,18,0,42420
932,F,35,6,97838
5380,M,18,4,01125
2884,F,50,3,53222
3273,M,35,7,11201
217,M,18,4,22903
5012,M,50,15,48103
4419,F,45,12,15801
5828,M,25,17,90048
311,M,18,4,31201
2292,M,50,15,13039
4068,M,56,3,89185
1664,F,18,4,76707
1406,M,25,4,91911
572,M,18,4,61801
3222,M,35,7,10583
4398,F,18,4,43612
4393,M,18,4,43402
5533,F,50,2,10025
3291,F,25,7,27516
1993,M,35,17,99508
2061,M,56,1,44107
5725,M,18,2,10018
1351,F,25,17,98034
2111,M,56,13,32806
665,M,18,2,13317
2584,F,56,1,94563
761,M,18,7,99945
4332,F,25,3,60606
5168,M,35,7,01720
6038,F,56,1,14706
1452,F,56,13,90732
708,M,25,0,37042
703,F,56,1,44074
5314,F,25,0,94107
5145,M,35,7,77565-2332
3376,M,35,16,10803
2673,M,35,7,77040
2037,M,56,14,02468
2696,M,25,7,24210
160,M,35,7,13021
2160,F,18,19,46556
4775,M,25,17,23462
2714,M,18,4,96815
5258,M,35,4,58369
2133,F,1,10,01607
2759,M,25,7,36102
5216,M,18,2,81291
5215,F,56,6,91941
5027,F,25,14,05345
3969,M,56,7,12345
3633,M,35,18,60441
4463,M,50,7,07405
947,M,18,0,21015
2128,F,45,1,46737
3407,F,45,5,60050
2819,M,45,14,44122
4244,M,35,17,48146
5525,F,1,10,55311
341,F,56,13,92119
4383,F,18,4,93940
4527,M,18,0,38111
4525,M,25,14,10021
421,F,45,3,55125
3787,F,25,0,94703
4991,F,56,14,91791
2488,F,45,2,31804
4178,F,50,16,08033
5904,F,45,12,954025
4365,F,50,16,46350
2381,F,35,9,13066
1844,F,18,4,53711
1493,F,25,14,60657
4547,M,18,12,02115
3552,F,35,2,02879
5309,M,25,0,02478
3883,M,50,16,78411
2930,M,50,17,45420
5159,M,35,7,37027
2686,M,25,0,85283
94,M,25,17,28601
1549,M,35,6,20901
5052,M,35,16,02536
5863,F,25,14,89511
5804,F,35,7,94306
4880,F,45,9,95030
3642,F,25,7,98188
3068,F,35,9,66204
1305,M,45,20,94121
1307,M,56,13,75703
653,M,56,13,92660
4230,M,56,13,34235
318,F,56,13,55104
317,M,35,7,38555
4065,F,45,5,48341
951,M,45,2,10009
3388,F,25,1,92646
833,M,35,7,46825
574,M,25,19,90214
356,M,56,20,55101
3225,M,18,0,15237
559,F,25,7,60422
4259,M,35,17,45380
5899,M,35,17,30024
2422,F,50,9,02865
3324,M,35,17,48083
535,M,35,6,95370
1431,M,56,6,91011
1488,M,25,7,94538
1226,M,18,20,07087
2234,M,56,1,85718
3495,M,18,4,94608
4558,M,35,14,48217
4554,F,25,9,48306
2373,M,45,7,94109
4943,F,50,0,55401
3133,M,18,4,33720
3897,M,56,17,92069
6034,M,25,14,94117
2908,M,18,2,74403
1459,F,25,0,80027
2923,M,35,12,44256
3176,M,25,17,95129
1713,M,25,0,47421
1751,M,35,20,77024
1282,M,50,1,98541
1363,M,50,7,01915
383,F,25,7,78757
226,M,35,1,94518
2502,M,56,13,49423
1250,M,50,0,10573
1126,M,56,16,13031
5810,M,50,16,95070
4614,F,45,1,10469
821,M,18,2,14456
2527,M,35,15,36109
2893,M,25,1,94025
4,M,45,7,02460
906,M,1,10,71106
907,F,45,6,92117
1318,M,18,16,94014
3616,M,45,0,33759
1534,M,50,12,12184
3234,F,1,0,90012
1615,F,45,7,10022
640,M,18,4,47406
4464,F,50,1,62052
5409,M,45,1,60091
4264,M,45,1,60102
320,M,35,6,99516
4871,M,18,12,04096
3188,M,56,13,55344
5529,M,18,6,05273
2207,M,18,4,07508
2336,M,35,18,13146
4992,F,25,2,55106
3275,M,35,7,10028
3488,M,45,17,80228
1801,F,25,6,54729
4548,M,18,2,27514
1070,F,45,2,20036
2977,F,18,4,48104
5117,F,25,0,70118
5116,M,35,6,95521
1783,M,18,4,10027
4110,F,45,7,41722
2640,M,35,12,78230
2644,M,18,15,45215
5174,M,45,1,45208
89,F,56,9,85749
277,F,35,1,98126
4665,M,35,2,03431
2516,F,45,6,37909
1157,M,45,7,30253
4741,M,35,7,15203
158,M,56,7,28754
1708,M,25,0,64106
1927,M,35,7,94806
4881,M,45,16,55406
1582,M,18,0,10705
213,F,18,4,01609
197,M,18,14,10023
315,F,56,1,55105
2295,M,45,11,72316
5207,M,25,0,98102
3623,M,35,11,43209
2467,M,1,10,44224
5439,M,56,13,19119
1621,M,25,4,11423
417,F,25,0,50613
1384,M,18,10,98058
1385,F,25,5,90262
5465,F,25,0,10019
